,Company,Job,Salary,Reported,Location,Rating
0,Sasken,Android Developer,400000,3,Bangalore,3.8
1,Advanced Millennium Technologies,Android Developer,400000,3,Bangalore,4.5
2,Unacademy,Android Developer,1000000,3,Bangalore,4.0
3,SnapBizz Cloudtech,Android Developer,300000,3,Bangalore,3.8
4,Appoids Tech Solutions,Android Developer,600000,3,Bangalore,4.4
5,Freelancer,Android Developer,100000,3,Bangalore,4.2
6,SQUARE N CUBE,Android Developer,192000,3,Bangalore,3.7
7,Samsung R&D Institute India - Bangalore,Android Developer,400000,3,Bangalore,3.1
8,DXMinds Technologies,Android Developer,300000,3,Bangalore,3.7
9,Endeavour Software Technologies,Android Developer,600000,3,Bangalore,3.6
10,Craft Silicon,Android Developer,300000,3,Bangalore,3.6
11,Baronford & Associates,Android Developer,240000,2,Bangalore,3.9
12,Wibmo,Android Developer,900000,2,Bangalore,3.7
13,Retail Pulse,Android Developer - Intern,24000,2,Bangalore,4.8
14,Bookmyshow,Android Developer,600000,2,Bangalore,3.9
15,Knowledge Flex,Android Developer,228000,2,Bangalore,3.9
16,Novopay Solutions,Android Developer,600000,2,Bangalore,3.6
17,WealthEngine,Android Developer,360000,2,Bangalore,3.7
18,J.P. Morgan,Android Developer,1000000,2,Bangalore,4.0
19,Acviss,Android Developer,500000,2,Bangalore,3.6
20,Fresher,Android Developer,408000,2,Bangalore,4.1
21,MedOnGo,Android Developer,300000,2,Bangalore,4.2
22,Nuclei,Android Developer,800000,2,Bangalore,4.0
23,eSecForte Technologies,Android Developer,228000,2,Bangalore,4.4
24,Moveinsync Technology Solutions,Android Developer,100000,2,Bangalore,4.3
25,Tech Mahindra,Android Developer,500000,2,Bangalore,3.6
26,ThiDiff Technologies,Android Developer,200000,2,Bangalore,4.0
27,Retranz Infolabs,Android Developer,500000,2,Bangalore,4.9
28,FicusLot,Android Developer,228000,2,Bangalore,4.0
29,KrazyBee,Android Developer,708000,2,Bangalore,3.7
30,powerplay app,Android Developer - Intern,396000,2,Bangalore,5.0
31,Dcoder,Android Developer,700000,2,Bangalore,4.2
32,Masai School,Android Developer,500000,2,Bangalore,4.6
33,Integra Micro Software Services (P),Android Developer,500000,2,Bangalore,3.9
34,DocsApp,Android Developer,900000,2,Bangalore,3.3
35,Vispara Technosoft,Android Developer,200000,2,Bangalore,5.0
36,Vmoksha Technologies,Android Developer,228000,2,Bangalore,4.3
37,Artoo,Android Developer,400000,2,Bangalore,2.9
38,Edelweiss Financial Services,Android Developer,600000,2,Bangalore,3.8
39,Hubbler,Android Developer,400000,2,Bangalore,4.0
40,L&T Technology Services,Android Developer,500000,2,Bangalore,3.5
41,Rossitek Mobile Apps Development,Android Developer,216000,2,Bangalore,3.0
42,Pricyfy,Android Developer,216000,2,Bangalore,1.0
43,MYNEWCAR,Android Developer,300000,2,Bangalore,2.9
44,IBM,Android Developer,540000,2,Bangalore,4.1
45,Panel Coder Software Technologies,Android Developer,400000,2,Bangalore,3.7
46,Knitter,Android Developer,500000,2,Bangalore,3.9
47,3Embed Software Technologies,Android Developer,400000,2,Bangalore,3.8
48,Web Digital Mantra,Android Developer,100000,2,Bangalore,3.4
49,FitnyTech,Android Developer,252000,2,Bangalore,4.5
50,CRK Gida Technologies,Android Developer,700000,2,Bangalore,4.8
51,FuGenX Technologies,Android Developer,100000,2,Bangalore,3.7
52,Outthinking,Android Developer,200000,2,Bangalore,4.6
53,iMars Technologies,Android Developer,156000,2,Bangalore,2.8
54,GreedyGame,Android Developer - Intern,348000,2,Bangalore,4.7
55,In Time Tec,Android Developer,600000,2,Bangalore,4.1
56,IndGlobal,Android Developer,300000,2,Bangalore,4.3
57,CYBERNETYX Interaktiv,Android Developer,864000,2,Bangalore,4.1
58,Karabi Software,Android Developer,120000,2,Bangalore,3.7
59,Keyfalcon Solutions,Android Developer,400000,2,Bangalore,4.3
60,ABCDEF,Android Developer,168000,2,Bangalore,3.9
61,Cumulations Technologies,Android Developer,400000,2,Bangalore,4.6
62,Dcoder,Android Developer - Intern,96000,2,Bangalore,4.2
63,powerplay app,Android Developer,1000000,2,Bangalore,5.0
64,Fembuddy,Android Developer,420000,2,Bangalore,4.0
65,Blewsoft Technologies,Android Developer,240000,2,Bangalore,4.5
66,Across The Globe,Android Developer - Intern,72000,2,Bangalore,4.2
67,HARMAN,Android Developer,700000,2,Bangalore,3.9
68,Oust Labs,Android Developer,396000,2,Bangalore,3.2
69,Kaskeid Designs,Android Developer,264000,2,Bangalore,4.0
70,TruKKer Technologies,Android Developer,500000,2,Bangalore,3.6
71,Datamatics Global Services,Android Developer,1000000,2,Bangalore,3.3
72,Grabhouse,Android Developer,672000,2,Bangalore,3.1
73,Msewa Software Solution,Android Developer,276000,2,Bangalore,2.8
74,Honeywell,Android Developer,800000,2,Bangalore,3.8
75,Prematix Software Solution,Android Developer,200000,2,Bangalore,3.7
76,Provab Technosoft,Android Developer,492000,2,Bangalore,3.4
77,Ai-Connect,Android Developer,600000,1,Bangalore,3.0
78,Idea infinity IT Solutions,Android Developer,300000,1,Bangalore,3.3
79,Developer On Rent,Android Developer,300000,1,Bangalore,3.1
80,OZOPROP Technologies,Android Developer,432000,1,Bangalore,4.0
81,ThinkTac,Android Developer - Intern,200000,1,Bangalore,3.7
82,Ashwin Infotrron,Android Developer,1188000,1,Bangalore,4.3
83,Housejoy,Android Developer,500000,1,Bangalore,4.5
84,Proven Solution,Android Developer,500000,1,Bangalore,5.0
85,Blooms Mobility Technologies,Android Developer,300000,1,Bangalore,5.0
86,DT Consulting,Android Developer,1000000,1,Bangalore,3.9
87,Kartel Technosoft,Android Developer,400000,1,Bangalore,4.8
88,Philips,Android Developer,500000,1,Bangalore,3.9
89,Vensure Employer Services,Android Developer,732000,1,Bangalore,3.4
90,QuHu,Android Developer - Intern,120000,1,Bangalore,4.5
91,Software Developers,Android Developer,684000,1,Bangalore,4.1
92,Livwell holding,Android Developer,500000,1,Bangalore,4.0
93,Uolo Technology,Android Developer,800000,1,Bangalore,3.8
94,MSL Learning Systems,Android Developer,400000,1,Bangalore,3.3
95,Fermedicius Labs,Android Developer,200000,1,Bangalore,4.8
96,Dunzo,Android Developer,2800000,1,Bangalore,4.1
97,ABC Tech,Android Developer,852000,1,Bangalore,3.7
98,SpurTree Technologies,Android Developer,700000,1,Bangalore,4.3
99,Grab (India),Android Developer,1200000,1,Bangalore,4.0
100,42Gears Mobility Systems,Android Developer,900000,1,Bangalore,3.9
101,Tata,Android Developer,400000,1,Bangalore,4.1
102,Kruzr,Android Developer,228000,1,Bangalore,4.1
103,NimbusParc TechnoLab,Android Developer,400000,1,Bangalore,4.0
104,NvestCampus,Android Developer,400000,1,Bangalore,3.3
105,nth Exam,Android Developer - Intern,252000,1,Bangalore,4.4
106,Walmart Global Tech,Android Developer,2300000,1,Bangalore,4.0
107,ThreeFiveEight,Android Developer,300000,1,Bangalore,4.0
108,Familybirdz Tech,Android Developer,400000,1,Bangalore,4.0
